Portfolio,Transaction Cost Rate,Strategy,Final Value,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Total Transaction Costs,Cost Drag
Aggressive,0.00%,Annual Rebalancing,35861.632102949734,0.16163183634271783,0.1874752860765974,0.8621500984224628,-0.2829718163976188,0.0,0.0
Aggressive,0.05%,Annual Rebalancing,35852.28551682174,0.1615961139382771,0.18747569703141617,0.8619576643643453,-0.2829886198513576,5.295603118673883,9.346586127991031
Aggressive,0.10%,Annual Rebalancing,35842.940990541494,0.16156039119425714,0.18747611455537636,0.8617651991423991,-0.28300542330509537,10.589812100081842,18.69111240823986
Aggressive,0.25%,Annual Rebalancing,35814.919767016894,0.16145322092432246,0.18747740654166398,0.8611876166979191,-0.2830558336663095,26.46407709219835,46.71233593283978
Balanced,0.00%,Quarterly Rebalancing,29129.638205311494,0.13362022773393423,0.14716949803727641,0.907934249392423,-0.2786878942863249,0.0,0.0
Balanced,0.05%,Quarterly Rebalancing,29108.484439179774,0.1335230741971818,0.1471686938755702,0.9072790597032434,-0.27873563131890977,12.411628080742062,21.15376613171975
Balanced,0.10%,Quarterly Rebalancing,29087.345401146573,0.13342592607375736,0.1471679070094633,0.9066237930881065,-0.2787833660320569,24.812959953308404,42.29280416492111
Balanced,0.25%,Quarterly Rebalancing,29024.016557413226,0.13313451418148237,0.14716565018748323,0.9046575339549293,-0.2789265562556129,61.95525351481674,105.62164789826784
Conservative,0.00%,Buy & Hold,21379.995969302265,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0,0.0
Conservative,0.05%,Buy & Hold,21379.995969302265,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0,0.0
Conservative,0.10%,Buy & Hold,21379.995969302265,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0,0.0
Conservative,0.25%,Buy & Hold,21379.995969302265,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0,0.0
