Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Total Transaction Costs,Portfolio,Strategy,Transaction Cost Rate,Zero Cost Final Value,Cost Drag
31560.640609401507,2.1368117775694047,0.1443189015234887,0.160612944653512,0.8985508723149668,-0.28710825008075136,0.0,Custom Portfolio,Buy & Hold,0.00%,31560.640609401507,0.0
31560.640609401507,2.1368117775694047,0.1443189015234887,0.160612944653512,0.8985508723149668,-0.28710825008075136,0.0,Custom Portfolio,Buy & Hold,0.05%,31560.640609401507,0.0
31560.640609401507,2.1368117775694047,0.1443189015234887,0.160612944653512,0.8985508723149668,-0.28710825008075136,0.0,Custom Portfolio,Buy & Hold,0.10%,31560.640609401507,0.0
31560.640609401507,2.1368117775694047,0.1443189015234887,0.160612944653512,0.8985508723149668,-0.28710825008075136,0.0,Custom Portfolio,Buy & Hold,0.25%,31560.640609401507,0.0
28605.588231141213,1.8431091490904339,0.1311296502038204,0.14807765054583544,0.8855465340006254,-0.27783030993338065,0.0,Custom Portfolio,Monthly Rebalancing,0.00%,28605.588231141213,0.0
28574.50996162821,1.8400202801716632,0.13098466538148235,0.14807774826633793,0.8845668367801531,-0.2779097628411775,18.115192750928507,Custom Portfolio,Monthly Rebalancing,0.05%,28605.588231141213,31.07826951300376
28543.465009844254,1.836934722701674,0.13083969705472187,0.1480778580234777,0.8835871804275915,-0.27798920804512206,36.207589205164986,Custom Portfolio,Monthly Rebalancing,0.10%,28605.588231141213,62.123221296958945
28450.52970861934,1.8276978839745337,0.130404891031338,0.14807825951443843,0.8806484588551152,-0.2782274974403387,90.34826277772117,Custom Portfolio,Monthly Rebalancing,0.25%,28605.588231141213,155.0585225218747
29079.974387356044,1.890258384758587,0.13332566014172476,0.14713712990715905,0.9061319887498888,-0.27868794401550445,0.0,Custom Portfolio,Quarterly Rebalancing,0.00%,29079.974387356044,0.0
29058.892162827422,1.8881630226581407,0.13322874044238464,0.14713625965207613,0.9054786410733987,-0.2787356810336973,12.375700200187282,Custom Portfolio,Quarterly Rebalancing,0.05%,29079.974387356044,21.082224528621737
29037.824590389682,1.8860691168288715,0.13313182612330854,0.14713540667329053,0.904825215992528,-0.27878341573245446,24.741155731253414,Custom Portfolio,Quarterly Rebalancing,0.10%,29079.974387356044,42.149796966361464
28974.709688088165,1.8797961272742625,0.13284111544571253,0.14713295139769245,0.9028644785806692,-0.27892660591285634,61.776128971641064,Custom Portfolio,Quarterly Rebalancing,0.25%,29079.974387356044,105.26469926787831
28813.184826842895,1.8637421728125938,0.13209457126614743,0.14658243251028413,0.9011623630743046,-0.27789404972920884,0.0,Custom Portfolio,Annual Rebalancing,0.00%,28813.184826842895,0.0
28802.389748777205,1.862669250103726,0.13204454650521735,0.14658327161897095,0.9008159324513809,-0.2779358302220889,7.118432590582486,Custom Portfolio,Annual Rebalancing,0.05%,28813.184826842895,10.795078065690177
28791.598201284134,1.8615966782984383,0.13199452157222868,0.1465841249632369,0.9004694171714211,-0.27797761071496985,14.234187386214858,Custom Portfolio,Annual Rebalancing,0.10%,28813.184826842895,21.586625558760716
28759.24473234325,1.8583810673203534,0.1318444457406709,0.14658677040700174,0.8994293644276463,-0.2781029521936096,35.565393194748644,Custom Portfolio,Annual Rebalancing,0.25%,28813.184826842895,53.940094499645056
